שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°)
תל-אביב חוף                                       ,2410,21-06-2021,28.1,21.5
תל-אביב חוף                                       ,2410,22-06-2021,29.0,23.5
תל-אביב חוף                                       ,2410,23-06-2021,28.4,23.5
תל-אביב חוף                                       ,2410,24-06-2021,28.5,23.9
תל-אביב חוף                                       ,2410,25-06-2021,29.3,22.6
תל-אביב חוף                                       ,2410,26-06-2021,28.9,23.3
תל-אביב חוף                                       ,2410,27-06-2021,29.5,23.8
תל-אביב חוף                                       ,2410,28-06-2021,30.5,24.4
תל-אביב חוף                                       ,2410,29-06-2021,30.1,24.2
תל-אביב חוף                                       ,2410,30-06-2021,30.0,25.2
תל-אביב חוף                                       ,2410,01-07-2021,30.3,25.6
תל-אביב חוף                                       ,2410,02-07-2021,30.2,25.0
תל-אביב חוף                                       ,2410,03-07-2021,31.3,25.9
תל-אביב חוף                                       ,2410,04-07-2021,30.7,25.3
תל-אביב חוף                                       ,2410,05-07-2021,29.5,25.7
תל-אביב חוף                                       ,2410,06-07-2021,29.6,24.4
תל-אביב חוף                                       ,2410,07-07-2021,29.9,24.0
תל-אביב חוף                                       ,2410,08-07-2021,30.7,24.0
תל-אביב חוף                                       ,2410,09-07-2021,30.1,24.8
תל-אביב חוף                                       ,2410,10-07-2021,30.2,25.1
תל-אביב חוף                                       ,2410,11-07-2021,30.3,25.4
תל-אביב חוף                                       ,2410,12-07-2021,30.8,25.2
תל-אביב חוף                                       ,2410,13-07-2021,30.7,25.8
תל-אביב חוף                                       ,2410,14-07-2021,30.3,25.9
תל-אביב חוף                                       ,2410,15-07-2021,30.4,25.7
תל-אביב חוף                                       ,2410,16-07-2021,31.3,26.2
תל-אביב חוף                                       ,2410,17-07-2021,31.3,25.3
תל-אביב חוף                                       ,2410,18-07-2021,31.6,24.3
תל-אביב חוף                                       ,2410,19-07-2021,32.0,26.3
תל-אביב חוף                                       ,2410,20-07-2021,31.4,27.6
תל-אביב חוף                                       ,2410,21-07-2021,30.6,26.6
תל-אביב חוף                                       ,2410,22-07-2021,31.1,27.5
תל-אביב חוף                                       ,2410,23-07-2021,31.4,26.1
תל-אביב חוף                                       ,2410,24-07-2021,31.2,27.8
תל-אביב חוף                                       ,2410,25-07-2021,32.1,26.8
תל-אביב חוף                                       ,2410,26-07-2021,31.6,27.4
תל-אביב חוף                                       ,2410,27-07-2021,31.2,26.7
תל-אביב חוף                                       ,2410,28-07-2021,31.3,26.4
תל-אביב חוף                                       ,2410,29-07-2021,31.7,26.8
תל-אביב חוף                                       ,2410,30-07-2021,31.3,25.4
תל-אביב חוף                                       ,2410,31-07-2021,31.4,25.5
