time,tree,solar_elevation
2018-07-29 02:45:00,14.55215645,-24.043479489304733
2018-07-29 03:15:00,14.5947628,-19.1711216280882
2018-07-29 03:45:00,14.60347748,-13.9373046530022
2018-07-29 04:15:00,14.60638237,-8.414639780525873
2018-07-29 04:45:00,14.61897087,-2.6615195675619123
2018-07-29 05:15:00,14.64221001,3.2751432255313184
2018-07-29 05:45:00,14.65383148,9.35732213069687
2018-07-29 06:15:00,14.66351509,15.55359693982372
2018-07-29 06:45:00,14.68772316,21.837161465669443
2018-07-29 07:15:00,14.70031166,28.18397921904715
2018-07-29 07:45:00,14.70321655,34.57084629190684
2018-07-29 08:15:00,14.7080574,40.972952390697046
2018-07-29 08:45:00,14.7080574,47.36013815780071
2018-07-29 09:15:00,14.70999527,53.69007938488184
2018-07-29 09:45:00,14.70612144,59.89404491838415
2018-07-29 10:15:00,14.70515251,65.84345811990168
2018-07-29 10:45:00,14.69643784,71.26401470776756
2018-07-29 11:15:00,14.69740677,75.52112080195273
2018-07-29 11:45:00,14.6954689,77.35871679038064
2018-07-29 12:15:00,14.69353294,75.79801998119808
2018-07-29 12:45:00,14.6828804,71.6915507705774
2018-07-29 13:15:00,14.67416573,66.33785458518444
2018-07-29 13:45:00,14.66157722,60.41848502286055
2018-07-29 14:15:00,14.6577034,54.22789371570427
2018-07-29 14:45:00,14.6577034,47.90267721356039
2018-07-29 15:15:00,14.64898872,41.51496001650463
2018-07-29 15:45:00,14.64414787,35.10857610231437
2018-07-29 16:15:00,14.62187576,28.71433680205503
2018-07-29 16:45:00,14.61509705,22.35725789224809
2018-07-29 17:15:00,14.60250854,16.060475428710262
2018-07-29 17:45:00,14.5947628,9.847755980182688
2018-07-29 18:15:00,14.58314323,3.7454565722117774
2018-07-29 18:45:00,14.56280708,-2.2156333224848166
2018-07-29 19:15:00,14.54150391,-7.998314255657338
2018-07-29 19:45:00,14.53569412,-13.556712116680682
2018-07-29 20:15:00,14.53956795,-18.83368291615009
2018-07-29 20:45:00,14.53956795,-23.75802394883356
2018-07-29 21:15:00,14.54053497,-28.241985840245352
2018-07-29 21:45:00,14.54053497,-32.180206262618924
2018-07-29 22:15:00,14.5444088,-35.452041218912754
2018-07-29 22:45:00,14.54634476,-37.929912119497885
2018-07-29 23:15:00,14.54828262,-39.49552394513763
2018-07-29 23:45:00,14.55118752,-40.06221868311106
2018-07-30 00:15:00,14.55748177,-39.5960167384855
2018-07-30 00:45:00,14.56377602,-38.12496788394761
2018-07-30 01:15:00,14.58895302,-35.731387696675256
2018-07-30 01:45:00,14.59960365,-32.5315155945147
2018-07-30 02:15:00,14.60638237,-28.652871030090783
2018-07-30 02:45:00,14.6102562,-24.21727358309901
2018-07-30 03:15:00,14.61703491,-19.33177487788645
2018-07-30 03:45:00,14.61606598,-14.08585843769805
2018-07-30 04:15:00,14.64511681,-8.552276737860602
