date,original,mis_1,mis_2,mis_3
2019-07-21 06:00:00,19.633333333333333,19.633333333333333,19.633333333333333,19.633333333333333
2019-07-21 08:00:00,22.883333333333336,22.883333333333336,22.883333333333336,22.883333333333336
2019-07-21 10:00:00,25.583333333333332,25.583333333333332,25.583333333333332,25.583333333333332
2019-07-21 12:00:00,26.558333333333334,26.558333333333334,26.558333333333334,26.558333333333334
2019-07-21 14:00:00,26.03333333333333,26.03333333333333,26.03333333333333,26.03333333333333
2019-07-21 16:00:00,24.241666666666664,,24.241666666666664,24.241666666666664
2019-07-21 18:00:00,21.925,21.925,21.925,21.925
2019-07-21 20:00:00,20.45,20.45,20.45,20.45
2019-07-21 22:00:00,19.758333333333333,,19.758333333333333,19.758333333333333
2019-07-22 00:00:00,19.349999999999998,19.349999999999998,19.349999999999998,19.349999999999998
2019-07-22 02:00:00,18.883333333333333,18.883333333333333,,18.883333333333333
2019-07-22 04:00:00,18.908333333333335,18.908333333333335,,18.908333333333335
2019-07-22 06:00:00,20.491666666666667,,,20.491666666666667
2019-07-22 08:00:00,24.65833333333333,24.65833333333333,24.65833333333333,24.65833333333333
2019-07-22 10:00:00,27.308333333333334,27.308333333333334,27.308333333333334,27.308333333333334
2019-07-22 12:00:00,28.666666666666668,28.666666666666668,28.666666666666668,28.666666666666668
2019-07-22 14:00:00,28.21666666666667,28.21666666666667,28.21666666666667,28.21666666666667
2019-07-22 16:00:00,26.958333333333332,26.958333333333332,26.958333333333332,26.958333333333332
2019-07-22 18:00:00,24.3,24.3,24.3,24.3
2019-07-22 20:00:00,21.833333333333332,21.833333333333332,21.833333333333332,21.833333333333332
2019-07-22 22:00:00,20.991666666666667,20.991666666666667,20.991666666666667,20.991666666666667
2019-07-23 00:00:00,21.033333333333335,21.033333333333335,21.033333333333335,21.033333333333335
2019-07-23 02:00:00,20.900000000000002,20.900000000000002,20.900000000000002,20.900000000000002
2019-07-23 04:00:00,20.333333333333332,20.333333333333332,20.333333333333332,20.333333333333332
2019-07-23 06:00:00,22.991666666666664,22.991666666666664,22.991666666666664,22.991666666666664
2019-07-23 08:00:00,26.666666666666668,26.666666666666668,26.666666666666668,26.666666666666668
2019-07-23 10:00:00,28.891666666666666,28.891666666666666,28.891666666666666,28.891666666666666
2019-07-23 12:00:00,29.633333333333336,29.633333333333336,29.633333333333336,29.633333333333336
2019-07-23 14:00:00,29.71666666666667,29.71666666666667,29.71666666666667,29.71666666666667
2019-07-23 16:00:00,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002
2019-07-23 18:00:00,24.808333333333334,24.808333333333334,24.808333333333334,24.808333333333334
2019-07-23 20:00:00,22.983333333333334,22.983333333333334,22.983333333333334,22.983333333333334
2019-07-23 22:00:00,22.625,22.625,22.625,22.625
2019-07-24 00:00:00,21.991666666666664,21.991666666666664,21.991666666666664,21.991666666666664
2019-07-24 02:00:00,21.291666666666668,21.291666666666668,21.291666666666668,21.291666666666668
