time,longitude,latitude,temperature_2m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,total_precipitation,surface_net_solar_radiation,potential_evaporation
1990-09-30 17:00:00,-21.707788840748236,64.07233763982487,278.9150085449219,278.6645202636719,0.317535400390625,0.2751007080078125,0.2828216552734375,0.009255632758140564,1802303.71875,-0.0018274970352649689
1990-09-30 18:00:00,-21.707788840748236,64.07233763982487,278.9718017578125,278.74754333496094,0.3146209716796875,0.278106689453125,0.282806396484375,0.009821075200932228,1905145.0625,-0.0018866807222366333
1990-09-30 19:00:00,-21.707788840748236,64.07233763982487,278.9267272949219,278.75152587890625,0.314178466796875,0.2806549072265625,0.28277587890625,0.01047967672343475,1919739.1875,-0.0019520074129104614
1990-09-30 20:00:00,-21.707788840748236,64.07233763982487,278.89527893066406,278.71849060058594,0.315185546875,0.2830810546875,0.28277587890625,0.01122716367240173,1919739.5,-0.0020276010036468506
1990-09-30 21:00:00,-21.707788840748236,64.07233763982487,278.8768310546875,278.7100067138672,0.317901611328125,0.28558349609375,0.28277587890625,0.012105378508522335,1919739.5,-0.0020918846130371094
1990-09-30 22:00:00,-21.707788840748236,64.07233763982487,278.91357421875,278.75494384765625,0.3212738037109375,0.2882843017578125,0.2827911376953125,0.013099971413566891,1919739.5,-0.0021653324365615845
1990-09-30 23:00:00,-21.707788840748236,64.07233763982487,278.91514587402344,278.7656555175781,0.3242645263671875,0.291259765625,0.2828216552734375,0.014127212762787167,1919739.5,-0.0022295042872428894
1990-10-01 00:00:00,-21.707788840748236,64.07233763982487,278.9094696044922,278.76666259765625,0.323394775390625,0.2942352294921875,0.2828826904296875,0.014898347854568783,1919739.5,-0.0022915974259376526
1990-10-01 01:00:00,-21.707788840748236,64.07233763982487,278.8156433105469,278.6473083496094,0.3217926025390625,0.2967529296875,0.2829742431640625,0.0006484035402536392,0.0,-6.64563849568367e-05
1990-10-01 02:00:00,-21.707788840748236,64.07233763982487,278.8410339355469,278.72129821777344,0.32550048828125,0.2991180419921875,0.2830810546875,0.0016316287219524384,0.0,-0.00010675843805074692
1990-10-01 03:00:00,-21.707788840748236,64.07233763982487,278.8212585449219,278.7406921386719,0.332427978515625,0.3020172119140625,0.283233642578125,0.002961624413728714,0.0,-0.00013044290244579315
1990-10-01 04:00:00,-21.707788840748236,64.07233763982487,278.5564270019531,278.4913330078125,0.33416748046875,0.3054962158203125,0.2834014892578125,0.004069395363330841,0.0,-0.00014227256178855896
1990-10-01 05:00:00,-21.707788840748236,64.07233763982487,277.95359802246094,277.8443603515625,0.3321075439453125,0.30865478515625,0.28363037109375,0.004876255989074707,0.0,-0.0001618415117263794
1990-10-01 06:00:00,-21.707788840748236,64.07233763982487,277.4504852294922,277.2780456542969,0.3260498046875,0.3107452392578125,0.283905029296875,0.005232363939285278,0.0,-0.00020447000861167908
1990-10-01 07:00:00,-21.707788840748236,64.07233763982487,276.8392028808594,275.713623046875,0.3192291259765625,0.3116302490234375,0.284210205078125,0.0052670687437057495,0.0,-0.0002495869994163513
1990-10-01 08:00:00,-21.707788840748236,64.07233763982487,276.5164031982422,275.7494659423828,0.314422607421875,0.3117218017578125,0.2845306396484375,0.005277976393699646,4202.0,-0.0002538710832595825
1990-10-01 09:00:00,-21.707788840748236,64.07233763982487,276.58970642089844,276.1780548095703,0.310760498046875,0.3114166259765625,0.2848358154296875,0.005280524492263794,112230.0,-0.00025429949164390564
1990-10-01 10:00:00,-21.707788840748236,64.07233763982487,277.5143127441406,276.38710021972656,0.307891845703125,0.3109130859375,0.2851409912109375,0.005300357937812805,399158.0,-0.0002573467791080475
1990-10-01 11:00:00,-21.707788840748236,64.07233763982487,278.0422668457031,275.5770568847656,0.3057861328125,0.3103485107421875,0.285430908203125,0.005373328924179077,837606.0,-0.00047537684440612793
1990-10-01 12:00:00,-21.707788840748236,64.07233763982487,278.65740966796875,274.2781219482422,0.3033447265625,0.3096923828125,0.2856903076171875,0.005387216806411743,1542576.0,-0.0006836019456386566
1990-10-01 13:00:00,-21.707788840748236,64.07233763982487,278.85646057128906,273.9948425292969,0.3009796142578125,0.3089599609375,0.28594970703125,0.005389541387557983,2274818.0,-0.0011711642146110535
1990-10-01 14:00:00,-21.707788840748236,64.07233763982487,279.15087890625,273.3060302734375,0.298675537109375,0.308135986328125,0.2861785888671875,0.005392789840698242,3060358.0,-0.0016444697976112366
1990-10-01 15:00:00,-21.707788840748236,64.07233763982487,279.31617736816406,273.0096130371094,0.29681396484375,0.3072967529296875,0.2863922119140625,0.005430400371551514,3781361.7556152344,-0.002147771418094635
1990-10-01 16:00:00,-21.707788840748236,64.07233763982487,279.2813262939453,273.0706787109375,0.295257568359375,0.3064727783203125,0.2865753173828125,0.005476564168930054,4367454.17578125,-0.0026809759438037872
1990-10-01 17:00:00,-21.707788840748236,64.07233763982487,279.04974365234375,273.61631774902344,0.293914794921875,0.3056640625,0.286773681640625,0.005524486303329468,4815334.25,-0.0030960403382778168
1990-10-01 18:00:00,-21.707788840748236,64.07233763982487,278.5454406738281,274.5655822753906,0.292449951171875,0.3049163818359375,0.286956787109375,0.005525499582290649,5041019.125,-0.003357917070388794
1990-10-01 19:00:00,-21.707788840748236,64.07233763982487,278.00177001953125,274.7430114746094,0.291229248046875,0.304168701171875,0.287139892578125,0.005527186393635475,5091839.6875,-0.003510214388370514
1990-10-01 20:00:00,-21.707788840748236,64.07233763982487,277.25469970703125,274.69078063964844,0.29010009765625,0.303466796875,0.2873077392578125,0.005527305602925026,5091839.4375,-0.003574460744857788
