date,location_key,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
2022-05-25,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,1792.0,3.0,20351.0,4132983.0,10864.0,51244011.0,61.0,6711771.0,103.0,6143026.0,666.0,18162403.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-2.0,12.0,28.0,-12.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,22.527778,14.638889,29.398148,0.0,,11.537037,51.55264
2022-05-26,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,1845.0,1.0,10593.0,4134828.0,10865.0,51254604.0,72.0,6711843.0,136.0,6143162.0,740.0,18163143.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-3.0,9.0,32.0,-15.0,-10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.507937,18.420635,32.119048,0.0,,12.071429,45.181718
2022-05-27,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,1310.0,2.0,8212.0,4136138.0,10867.0,51262816.0,11.0,6711854.0,28.0,6143190.0,141.0,18163284.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,0.0,12.0,73.0,-16.0,-7.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,26.261905,19.873016,33.460317,0.0,,12.198413,45.10157
2022-05-28,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2426.0,2.0,21346.0,4138564.0,10869.0,51284162.0,1.0,6711855.0,4.0,6143194.0,24.0,18163308.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-17.0,2.0,32.0,-25.0,-5.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,26.968254,21.071429,33.849206,0.0,,12.849206,44.492425
2022-05-29,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2899.0,2.0,26237.0,4141463.0,10871.0,51310399.0,89.0,6711944.0,152.0,6143346.0,718.0,18164026.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-5.0,13.0,30.0,-15.0,-8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,27.206349,21.285714,33.936508,0.0,,12.793651,43.831652
2022-05-30,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2471.0,3.0,16316.0,4143934.0,10874.0,51326715.0,55.0,6711999.0,132.0,6143478.0,603.0,18164629.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-3.0,15.0,17.0,-14.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,27.261905,20.920635,34.238095,0.0,,12.722222,42.761587
2022-05-31,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2461.0,3.0,18749.0,4146395.0,10877.0,51345464.0,45.0,6712044.0,104.0,6143582.0,652.0,18165281.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-3.0,16.0,24.0,-14.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.425926,18.398148,32.583333,0.0,,11.935185,44.99634
2022-06-01,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2236.0,2.0,13547.0,4148631.0,10879.0,51359011.0,63.0,6712107.0,89.0,6143671.0,543.0,18165824.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-1.0,19.0,25.0,-12.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,24.81746,19.563492,31.960317,0.0,,13.857143,52.387766
2022-06-02,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2407.0,1.0,10831.0,4151038.0,10880.0,51369842.0,76.0,6712183.0,156.0,6143827.0,662.0,18166486.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-2.0,20.0,31.0,-13.0,-9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.063492,19.0,31.134921,0.0,,12.619048,48.129368
2022-06-03,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,1578.0,1.0,6190.0,4152616.0,10881.0,51376032.0,10.0,6712193.0,23.0,6143850.0,86.0,18166572.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,1.0,23.0,65.0,-13.0,-10.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.992063,19.285714,32.587302,0.0,,12.31746,44.367056
2022-06-04,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,2049.0,0.0,8403.0,4154665.0,10881.0,51384435.0,0.0,6712193.0,7.0,6143857.0,19.0,18166591.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-37.0,-3.0,22.0,-38.0,-19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.203704,17.055556,32.675926,0.0,,10.592593,40.975279
2022-06-05,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,3751.0,3.0,20269.0,4158416.0,10884.0,51404704.0,11.0,6712204.0,14.0,6143871.0,33.0,18166624.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-48.0,-53.0,44.0,-63.0,-85.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.555556,17.287037,32.87963,0.0,,10.925926,42.537222
2022-06-06,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,4767.0,3.0,23063.0,4163183.0,10887.0,51427767.0,58.0,6712262.0,144.0,6144015.0,625.0,18167249.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-2.0,15.0,21.0,-13.0,-22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,25.52381,20.190476,32.119048,0.0,,13.603175,49.463523
2022-06-07,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,4998.0,2.0,21975.0,4168181.0,10889.0,51449742.0,54.0,6712316.0,133.0,6144148.0,703.0,18167952.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-6.0,12.0,16.0,-13.0,-7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,24.566667,18.677778,30.5,0.0,,14.577778,54.87722
2022-06-08,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,5870.0,3.0,20990.0,4174051.0,10892.0,51470732.0,57.0,6712373.0,105.0,6144253.0,787.0,18168739.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-4.0,10.0,25.0,-12.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,24.766667,18.044444,31.4,0.0,,14.455556,53.68751
2022-06-09,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,4673.0,0.0,14247.0,4178724.0,10892.0,51484979.0,83.0,6712456.0,206.0,6144459.0,1165.0,18169904.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-3.0,10.0,30.0,-14.0,-10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,27.203704,17.657407,33.898148,0.0,,10.583333,36.03232
2022-06-10,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,3339.0,2.0,11262.0,4182063.0,10894.0,51496241.0,14.0,6712470.0,51.0,6144510.0,262.0,18170166.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,0.0,14.0,69.0,-13.0,-9.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,27.064815,19.611111,34.046296,0.0,,11.518519,39.035353
2022-06-11,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,5846.0,3.0,22259.0,4187909.0,10897.0,51518500.0,0.0,6712470.0,3.0,6144513.0,29.0,18170195.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-17.0,3.0,27.0,-25.0,-8.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,28.814815,18.574074,36.472222,0.0,,9.12963,30.302901
2022-06-12,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,7509.0,2.0,29603.0,4195418.0,10899.0,51548103.0,109.0,6712579.0,199.0,6144712.0,1266.0,18171461.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-3.0,15.0,27.0,-13.0,-9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,26.027778,20.722222,32.101852,0.0,,13.805556,48.216478
2022-06-13,IL,ChIJi8mnMiRJABURuiw1EyBCa2o,Q801,country/ISR,IL,Israel,IL,ISR,0,7715.0,0.0,22500.0,4203133.0,10899.0,51570603.0,81.0,6712660.0,142.0,6144854.0,1014.0,18172475.0,8655541,4308117,4347424,678907,8374393,4096963,5237807,399.979,0.903,1671096,1405063,1196975,1122245,1040177,795496,703643,459660,261186,395098666121,43641,0.763,1473946,31.0,35.0,22070,15621,6399,82.802439,25.2,9.7,3.0,70.873,39.638,15.4,9.6,5.7002,4.6249,3144.626221,699.707214,-3.0,14.0,21.0,-14.0,-9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,2.0,2.0,2.0,,0.0,2.0,5.0,14.81,26.349206,23.055556,31.039683,0.0,,16.287037,60.14033
